prog.name, recombinations
P6xSC_P10_A9_128,9
P6xSC_P11_A10_142,9
P6xSC_P12_A11_154,5
P6xSC_P13_A12_116,4
P6xSC_P14_B1_196,4
P6xSC_P15_B2_180,4
P6xSC_P16_B3_164,6
P6xSC_P20_B7_144,5
P6xSC_P21_B8_116,11
P6xSC_P23_B10_144,7
P6xSC_P24_B11_156,7
P6xSC_P25_B12_118,9
P6xSC_P26_C1_198,4
P6xSC_P27_C2_182,7
P6xSC_P28_C3_166,7
P6xSC_P29_C4_150,6
P6xSC_P2_A1_194,8
P6xSC_P31_C6_132,12
P6xSC_P32_C7_160,9
P6xSC_P33_C8_118,9
P6xSC_P34_C9_132,10
P6xSC_P35_C10_146,11
P6xSC_P36_C11_158,10
P6xSC_P37_C12_120,10
P6xSC_P38_D1_200,7
P6xSC_P39_D2_184,10
P6xSC_P3_A2_178,3
P6xSC_P41_D4_152,8
P6xSC_P42_D5_120,8
P6xSC_P43_D6_134,8
P6xSC_P44_D7_176,11
P6xSC_P45_D8_120,10
P6xSC_P47_D10_148,9
P6xSC_P48_D11_160,9
P6xSC_P49_D12_122,10
P6xSC_P4_A3_162,5
P6xSC_P50_E1_202,11
P6xSC_P51_E2_186,10
P6xSC_P52_E3_170,12
P6xSC_P53_E4_154,12
P6xSC_P54_E5_122,13
P6xSC_P55_E6_136,11
P6xSC_P56_E7_192,9
P6xSC_P57_E8_122,7
P6xSC_P58_E9_136,4
P6xSC_P59_E10_150,5
P6xSC_P60_E11_140,7
P6xSC_P62_F1_204,6
P6xSC_P63_F2_188,14
P6xSC_P64_F3_172,6
P6xSC_P65_F4_156,4
P6xSC_P66_F5_124,14
P6xSC_P67_F6_138,12
P6xSC_P68_F7_208,10
P6xSC_P69_F8_124,8
P6xSC_P6_A5_114,4
P6xSC_P70_F9_138,8
P6xSC_P71_F10_152,5
P6xSC_P72_F11_114,5
P6xSC_P74_G1_206,7
P6xSC_P75_G2_190,13
P6xSC_P76_G3_174,7
P6xSC_P77_G4_158,13
P6xSC_P78_G5_126,14
P6xSC_P79_G6_140,11
P6xSC_P7_A6_128,4
P6xSC_P80_G7_114,7
P6xSC_P81_G8_126,11
P6xSC_P8_A7_142,4
P6xSC_P9_A8_114,10
