prog.name, recombinations
MAnderson017_118_R225-2_S32_R1_001_val_1.sort.GT,301
MAnderson017_119_R225-2_S33_R1_001_val_1.sort.GT,293
MAnderson017_120_R225-2_S87_R1_001_val_1.sort.GT,460
MAnderson017_121_R225-2_S89_R1_001_val_1.sort.GT,346
MAnderson017_125_R225-2_S86_R1_001_val_1.sort.GT,243
MAnderson017_126_R225-2_S44_R1_001_val_1.sort.GT,326
MAnderson017_127_R225-2_S45_R1_001_val_1.sort.GT,443
MAnderson017_128_R225-2_S49_R1_001_val_1.sort.GT,315
MAnderson017_129_R225-2_S50_R1_001_val_1.sort.GT,295
MAnderson017_130_R225-2_S95_R1_001_val_1.sort.GT,298
MAnderson017_133_R225-2_S96_R1_001_val_1.sort.GT,310
MAnderson017_135_R225-2_S85_R1_001_val_1.sort.GT,997
MAnderson017_140_R225-2_S84_R1_001_val_1.sort.GT,322
MAnderson017_143_R225-2_S46_R1_001_val_1.sort.GT,444
MAnderson017_146_R225-2_S52_R1_001_val_1.sort.GT,303
MAnderson017_147_R225-2_S78_R1_001_val_1.sort.GT,308
MAnderson017_148_R225-2_S79_R1_001_val_1.sort.GT,307
MAnderson017_158_R225-2_S98_R1_001_val_1.sort.GT,547
MAnderson017_881_R225-2_S93_R1_001_val_1.sort.GT,319
MAnderson017_885_R225-2_S94_R1_001_val_1.sort.GT,327
MAnderson017_887_R225-2_S51_R1_001_val_1.sort.GT,287
MAnderson017_888_R225-2_S53_R1_001_val_1.sort.GT,317
MAnderson017_889_R225-2_S76_R1_001_val_1.sort.GT,299
MAnderson017_890_R225-2_S77_R1_001_val_1.sort.GT,369
MAnderson017_891_R225-2_S97_R1_001_val_1.sort.GT,311
MAnderson017_892_R225-2_S58_R1_001_val_1.sort.GT,337
MAnderson017_893_R225-2_S92_R1_001_val_1.sort.GT,297
MAnderson017_894_R225-2_S34_R1_001_val_1.sort.GT,313
MAnderson017_895_R225-2_S36_R1_001_val_1.sort.GT,317
MAnderson017_896_R225-2_S54_R1_001_val_1.sort.GT,362
MAnderson017_899_R225-2_S40_R1_001_val_1.sort.GT,329
MAnderson017_900_R225-2_S88_R1_001_val_1.sort.GT,347
MAnderson017_901_R225-2_S99_R1_001_val_1.sort.GT,284
MAnderson017_902_R225-2_S59_R1_001_val_1.sort.GT,299
MAnderson017_905_R225-2_S102_R1_001_val_1.sort.GT,311
MAnderson017_907_R225-2_S35_R1_001_val_1.sort.GT,321
MAnderson017_908_R225-2_S83_R1_001_val_1.sort.GT,313
MAnderson017_911_R225-2_S41_R1_001_val_1.sort.GT,327
MAnderson017_912_R225-2_S39_R1_001_val_1.sort.GT,276
MAnderson017_914_R225-2_S120_R1_001_val_1.sort.GT,578
MAnderson017_915_R225-2_S37_R1_001_val_1.sort.GT,320
MAnderson017_917_R225-2_S73_R1_001_val_1.sort.GT,375
MAnderson017_918_R225-2_S117_R1_001_val_1.sort.GT,318
MAnderson017_921_R225-2_S82_R1_001_val_1.sort.GT,287
MAnderson017_923_R225-2_S80_R1_001_val_1.sort.GT,290
MAnderson017_924_R225-2_S42_R1_001_val_1.sort.GT,316
MAnderson017_925_R225-2_S48_R1_001_val_1.sort.GT,449
MAnderson017_931_R225-2_S91_R1_001_val_1.sort.GT,324
MAnderson017_932_R225-2_S38_R1_001_val_1.sort.GT,297
MAnderson017_935_R225-2_S75_R1_001_val_1.sort.GT,346
MAnderson017_936_R225-2_S74_R1_001_val_1.sort.GT,332
MAnderson017_938_R225-2_S81_R1_001_val_1.sort.GT,329
MAnderson017_939_R225-2_S100_R1_001_val_1.sort.GT,327
MAnderson017_940_R225-2_S43_R1_001_val_1.sort.GT,347
MAnderson017_946_R225-2_S47_R1_001_val_1.sort.GT,327
MAnderson017_951_R225-2_S90_R1_001_val_1.sort.GT,491
MAnderson017_952_R225-2_S61_R1_001_val_1.sort.GT,49
MAnderson017_953_R225-2_S72_R1_001_val_1.sort.GT,63
MAnderson017_954_R225-2_S118_R1_001_val_1.sort.GT,55
MAnderson017_955_R225-2_S119_R1_001_val_1.sort.GT,56
MAnderson017_959_R225-2_S55_R1_001_val_1.sort.GT,43
MAnderson017_960_R225-2_S56_R1_001_val_1.sort.GT,57
MAnderson017_961_R225-2_S116_R1_001_val_1.sort.GT,52
MAnderson017_964_R225-2_S60_R1_001_val_1.sort.GT,462
MAnderson017_967_R225-2_S121_R1_001_val_1.sort.GT,523
MAnderson017_968_R225-2_S57_R1_001_val_1.sort.GT,485
MAnderson017_NCL1_R225-2_S62_R1_001_val_1.sort.GT,57
MAnderson017_NCL2_R225-2_S103_R1_001_val_1.sort.GT,32
MAnderson017_NCL_R225-2_S122_R1_001_val_1.sort.GT,0
